Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
PDRN Pink Collagen Capsule Cream,"PDRN, колаген, капсульний крем, зволоження, антивіковий, пружність шкіри, відновлення, корейська косметика","Капсульний крем з PDRN та колагеном для глибокого зволоження та відновлення пружності шкіри. Інтенсивне живлення та омолодження.","PDRN Pink Collagen Capsule Cream — це інноваційний капсульний крем, який поєднує силу рослинного PDRN з потрійним колагеном для максимального ефекту омолодження. Капсули з активними інгредієнтами розчиняються при нанесенні, забезпечуючи цілеспрямовану доставку поживних речовин у глибокі шари шкіри.

Крем стимулює синтез власного колагену, підвищує пружність та еластичність шкіри, розгладжує дрібні зморшки та запобігає появі нових. Рослинний PDRN з дикого женьшеню активізує регенерацію клітин, а комплекс церамідів відновлює захисний бар'єр.

Легка текстура швидко вбирається, не залишаючи липкості. Підходить для щоденного ранкового та вечірнього догляду.",18+,"Рослинний PDRN, потрійний колаген, церамідний комплекс, ніацинамід, гіалуронова кислота, пантенол, сквалан",Всі типи,PDRN Pink,Натуральна
PDRN Essence,"PDRN, есенція, зволоження, антивіковий, регенерація, пружність, корейська косметика, сяйво шкіри","Концентрована есенція з 100 000 ppm рослинного PDRN для інтенсивного відновлення та омолодження шкіри.","PDRN Essence — високоефективна есенція з концентрацією 100 000 ppm рослинного PDRN, отриманого з дикого женьшеню. Низька молекулярна маса забезпечує глибоке проникнення активних компонентів у шкіру.

Формула стимулює природну регенерацію клітин, підвищує вироблення колагену та еластину, повертає шкірі пружність та здорове сяйво. Комплекс з 5 видів церамідів зміцнює захисний бар'єр, а ніацинамід вирівнює тон шкіри.

Легка молочна текстура миттєво вбирається без липкості. Підходить для чутливої шкіри, не містить ароматизаторів.",18+,"Рослинний PDRN 100 000 ppm, 5 видів церамідів, ніацинамід, пантенол, сквалан, алантоїн",Всі типи,PDRN,Натуральна
Exosome Cica Cream,"екзосоми, центела, заспокійливий, відновлення, чутлива шкіра, бар'єр шкіри, корейська косметика","Заспокійливий крем з екзосомами та центелою для відновлення пошкодженої та чутливої шкіри.","Exosome Cica Cream — це інноваційний заспокійливий крем, який поєднує технологію екзосом з екстрактом центели азіатської (Cica). Екзосоми — це мікроскопічні везикули, які доставляють активні компоненти безпосередньо в клітини шкіри.

Центела азіатська (мадекасосид, азіатикозид) заспокоює подразнення, зменшує почервоніння та прискорює загоєння. Крем відновлює пошкоджений бар'єр шкіри, зволожує та захищає від зовнішніх агресорів.

Ідеально підходить для чутливої, реактивної шкіри, після косметологічних процедур або при акне. Не містить подразнюючих компонентів.",16+,"Екзосоми, мадекасосид, азіатикозид, пантенол, алантоїн, бетаїн, гіалуронова кислота",Чутлива,Exosome Cica,Натуральна
Deep Vita C Capsule Serum,"вітамін С, освітлення, антиоксидант, пігментація, сяйво, капсульна сироватка, корейська косметика","Потужна сироватка з вітаміном С у капсулах для освітлення шкіри та боротьби з пігментацією.","Deep Vita C Capsule Serum — це високоефективна сироватка з концентрованим вітаміном С у захищених капсулах. Капсульна технологія зберігає стабільність вітаміну С до моменту нанесення, забезпечуючи максимальну ефективність.

Вітамін С — потужний антиоксидант, який нейтралізує вільні радикали, освітлює пігментні плями, вирівнює тон шкіри та стимулює вироблення колагену. Результат — сяюча, рівна шкіра з природним блиском.

Легка текстура швидко вбирається, підходить для ранкового догляду. Рекомендується використовувати з SPF-захистом.",18+,"Вітамін С (аскорбінова кислота), ніацинамід, гіалуронова кислота, екстракт зеленого чаю, токоферол",Всі типи,Deep Vita C,Натуральна
Zero Pore Serum 2.0,"звуження пор, себоконтроль, матування, жирна шкіра, BHA, салицилова кислота, корейська косметика","Сироватка для звуження пор та контролю жирного блиску. Оновлена формула 2.0 з посиленою дією.","Zero Pore Serum 2.0 — це вдосконалена формула для тих, хто бореться з розширеними порами та надмірним виділенням себуму. Сироватка глибоко очищає пори, регулює роботу сальних залоз та матує шкіру.

BHA (салицилова кислота) проникає в пори, розчиняє забруднення та запобігає появі чорних цяток. Ніацинамід звужує пори та вирівнює текстуру шкіри. Цинк контролює жирний блиск протягом дня.

Легка гелева текстура підходить для жирної та комбінованої шкіри. Використовувати вранці та ввечері після тонера.",16+,"Салицилова кислота (BHA), ніацинамід, цинк PCA, гіалуронова кислота, екстракт гамамелісу",Жирна/Комбінована,Zero Pore,Лікувальна
Collagen Glow Booster Serum,"колаген, сяйво, пружність, антивіковий, зволоження, бустер, корейська косметика","Бустер-сироватка з колагеном для миттєвого сяйва та підвищення пружності шкіри.","Collagen Glow Booster Serum — це концентрована бустер-сироватка, яка миттєво надає шкірі сяйва та покращує її пружність. Потрійний колаген різної молекулярної маси працює на різних рівнях шкіри.

Низькомолекулярний колаген проникає глибоко, стимулюючи вироблення власного колагену. Високомолекулярний — створює захисну плівку на поверхні, утримуючи вологу. Результат — пружна, сяюча шкіра з ефектом glass skin.

Підходить для всіх типів шкіри, особливо для зрілої та зневодненої. Можна використовувати як самостійний засіб або додавати до крему.",25+,"Потрійний колаген, гіалуронова кислота, ніацинамід, пантенол, аденозин, пептиди",Всі типи,Collagen,Натуральна
Red Succinic Acid Serum,"янтарна кислота, акне, проблемна шкіра, протизапальний, себоконтроль, корейська косметика","Сироватка з янтарною кислотою для проблемної шкіри. Бореться з акне та запаленнями.","Red Succinic Acid Serum — це спеціалізована сироватка для проблемної шкіри з акне та запаленнями. Янтарна кислота — м'який ексфоліант, який очищає пори та зменшує запалення.

Формула регулює виділення себуму, запобігає появі нових висипань та прискорює загоєння існуючих. Ніацинамід зменшує почервоніння та вирівнює тон шкіри. Центела заспокоює подразнення.

Підходить для жирної, комбінованої та проблемної шкіри. Може використовуватися точково на проблемні зони або на все обличчя.",16+,"Янтарна кислота, ніацинамід, екстракт центели, цинк PCA, алантоїн, бетаїн",Проблемна,Red,Лікувальна
Hyaluronic Multi Peptide Serum,"гіалуронова кислота, пептиди, зволоження, антивіковий, пружність, корейська косметика","Мультипептидна сироватка з гіалуроновою кислотою для глибокого зволоження та омолодження.","Hyaluronic Multi Peptide Serum — це потужний коктейль з гіалуронової кислоти різної молекулярної маси та комплексу пептидів для комплексного омолодження шкіри.

Гіалуронова кислота забезпечує багаторівневе зволоження: низькомолекулярна проникає глибоко, високомолекулярна утримує вологу на поверхні. Пептиди стимулюють вироблення колагену та еластину, розгладжують зморшки.

Легка сироваткова текстура підходить для всіх типів шкіри. Ідеальна база під крем та макіяж.",25+,"Гіалуронова кислота (3 види), пептидний комплекс, ніацинамід, пантенол, аденозин",Всі типи,Hyaluronic,Натуральна
TXA Niacinamide 15 serum,"ніацинамід, освітлення, пігментація, транексамова кислота, вирівнювання тону, корейська косметика","Сироватка з 15% ніацинаміду та транексамовою кислотою для боротьби з пігментацією.","TXA Niacinamide 15 Serum — це потужна освітлююча сироватка з високою концентрацією ніацинаміду (15%) та транексамовою кислотою (TXA). Ця комбінація ефективно бореться з пігментними плямами, постакне та нерівним тоном шкіри.

Ніацинамід пригнічує перенесення меланіну, освітлює існуючі плями та запобігає появі нових. Транексамова кислота — інгредієнт професійного рівня, який використовується для лікування мелазми та стійкої пігментації.

Підходить для всіх типів шкіри. Рекомендується використовувати з SPF-захистом.",18+,"Ніацинамід 15%, транексамова кислота, гіалуронова кислота, пантенол, алантоїн",Всі типи,TXA,Лікувальна
Deep Vita A Retinol Serum,"ретинол, антивіковий, зморшки, оновлення шкіри, вітамін А, корейська косметика","Сироватка з ретинолом для боротьби зі зморшками та оновлення шкіри. Антивіковий догляд.","Deep Vita A Retinol Serum — це антивікова сироватка з інкапсульованим ретинолом для тих, хто хоче зменшити зморшки та покращити текстуру шкіри. Інкапсуляція забезпечує поступове вивільнення ретинолу, зменшуючи подразнення.

Ретинол (вітамін А) — золотий стандарт антивікового догляду. Він прискорює оновлення клітин, стимулює вироблення колагену, розгладжує зморшки та вирівнює тон шкіри.

Рекомендується починати з 2-3 разів на тиждень, поступово збільшуючи частоту. Обов'язково використовувати SPF вдень.",25+,"Інкапсульований ретинол, ніацинамід, сквалан, вітамін Е, пантенол, алантоїн",Зріла,Deep Vita A,Лікувальна
