Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
PDRN Pink Collagen Gel Mask,"PDRN, колаген, гелева маска, зволоження, пружність, корейська косметика","Гелева маска з PDRN та колагеном для інтенсивного зволоження та омолодження.","PDRN Pink Collagen Gel Mask — це гелева тканинна маска, просочена есенцією з PDRN та колагеном. Гелева текстура щільно прилягає до шкіри, забезпечуючи максимальне проникнення активних компонентів.

Маска інтенсивно зволожує, підвищує пружність та надає шкірі здорового сяйва. Ідеальна для підготовки до важливих подій або як SOS-засіб для втомленої шкіри.

Тримати на обличчі 15-20 хвилин. Залишки есенції вбити в шкіру.",18+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, пантенол",Всі типи,PDRN Pink,Натуральна
PDRN Pink Tension Up Mask,"PDRN, ліфтинг, тканинна маска, підтягування, V-контур, корейська косметика","Ліфтинг-маска з PDRN для підтягування овалу обличчя та V-контуру.","PDRN Pink Tension Up Mask — це ліфтинг-маска з спеціальною конструкцією для підтягування овалу обличчя. Маска охоплює нижню частину обличчя, створюючи ефект V-контуру.

PDRN стимулює вироблення колагену, а пептиди підтягують шкіру. Після використання овал обличчя виглядає чіткішим, шкіра — пружнішою.

Тримати на обличчі 20-30 хвилин. Використовувати 2-3 рази на тиждень.",25+,"Рослинний PDRN, пептидний комплекс, колаген, аденозин, гіалуронова кислота",Зріла,PDRN Pink,Натуральна
Deep Vita C Patch,"вітамін С, патчі, освітлення, пігментація, точкова дія, корейська косметика","Патчі з вітаміном С для точкового освітлення пігментних плям.","Deep Vita C Patch — це патчі з концентрованим вітаміном С для точкового нанесення на пігментні плями, постакне або ділянки з нерівним тоном шкіри.

Патчі забезпечують тривалий контакт активних компонентів зі шкірою, посилюючи освітлюючий ефект. Вітамін С в поєднанні з ніацинамідом ефективно борються з пігментацією.

Наносити на чисту суху шкіру на ніч або на 4-6 годин вдень.",18+,"Вітамін С, ніацинамід, арбутин, гіалуронова кислота, алантоїн",Всі типи,Deep Vita C,Лікувальна
PDRN Lip Sleeping Mask,"PDRN, маска для губ, зволоження губ, нічний догляд, корейська косметика","Нічна маска для губ з PDRN для інтенсивного зволоження та відновлення.","PDRN Lip Sleeping Mask — це нічна маска для губ з рослинним PDRN для інтенсивного зволоження та відновлення сухих, потріскавших губ. Насичена формула працює протягом ночі.

PDRN стимулює регенерацію ніжної шкіри губ, а комплекс олій та масел живить та пом'якшує. Вранці губи м'які, зволожені, готові до нанесення макіяжу.

Наносити щедрий шар на губи перед сном. Можна використовувати вдень як бальзам.",16+,"Рослинний PDRN, масло ші, бджолиний віск, вітамін Е, олія жожоба",Всі типи,PDRN,Натуральна
Deep Vita C Daily Quick Mask,"вітамін С, щоденна маска, освітлення, швидка дія, корейська косметика","Щоденна експрес-маска з вітаміном С для швидкого освітлення та сяйва.","Deep Vita C Daily Quick Mask — це тонка тканинна маска для щоденного використання, просочена есенцією з вітаміном С. Тонка текстура дозволяє використовувати маску щодня без перевантаження шкіри.

Маска освітлює шкіру, надає здорового сяйва та захищає від вільних радикалів. Ідеальна для ранкового догляду — всього 10 хвилин для сяючої шкіри.

Тримати на обличчі 10-15 хвилин. Можна використовувати щодня.",16+,"Вітамін С, ніацинамід, гіалуронова кислота, екстракт зеленого чаю",Всі типи,Deep Vita C,Натуральна
Super Cica Daily Quick Mask,"центела, щоденна маска, заспокійлива, чутлива шкіра, корейська косметика","Щоденна заспокійлива маска з центелою для чутливої шкіри.","Super Cica Daily Quick Mask — це тонка тканинна маска з концентрованим екстрактом центели азіатської для щоденного заспокоєння чутливої шкіри. Ідеальна для реактивної шкіри, після сонця або косметологічних процедур.

Маска миттєво зменшує почервоніння та дискомфорт, відновлює комфорт шкіри. Легка формула підходить для щоденного використання.

Тримати на обличчі 10-15 хвилин. Залишки есенції вбити в шкіру.",16+,"Екстракт центели, мадекасосид, пантенол, алантоїн, гіалуронова кислота",Чутлива,Cica,Натуральна
Collagen Lifting Mask,"колаген, ліфтинг, тканинна маска, пружність, антивіковий, корейська косметика","Ліфтинг-маска з колагеном для підтягування та підвищення пружності шкіри.","Collagen Lifting Mask — це тканинна маска з потрійним колагеном та пептидами для ліфтинг-ефекту. Маска щільно прилягає до шкіри, забезпечуючи максимальне проникнення активних компонентів.

Колаген та пептиди підвищують пружність шкіри, розгладжують зморшки та покращують овал обличчя. Після використання шкіра виглядає підтягнутою та молодою.

Тримати на обличчі 20-30 хвилин. Використовувати 2-3 рази на тиждень.",25+,"Потрійний колаген, пептидний комплекс, аденозин, гіалуронова кислота",Зріла,Collagen,Натуральна
Collagen Night Wrapping Mask,"колаген, нічна маска, зволоження, відновлення, антивіковий, корейська косметика","Нічна маска з колагеном для інтенсивного відновлення шкіри під час сну.","Collagen Night Wrapping Mask — це нічна маска-обгортання з колагеном для інтенсивного відновлення шкіри під час сну. Насичена формула працює всю ніч, поки ви спите.

Маска насичує шкіру колагеном, зволожує та відновлює. Вранці шкіра виглядає відпочившою, пружною, з природним сяйвом.

Наносити як останній етап вечірнього догляду. Вранці змити або залишити.",25+,"Колаген, гіалуронова кислота, церамідний комплекс, масло ші, сквалан",Суха/Зріла,Collagen,Натуральна
Deep Peptide Radiance Mask,"пептиди, сяйво, тканинна маска, омолодження, корейська косметика","Маска з пептидами для сяйва та омолодження шкіри.","Deep Peptide Radiance Mask — це тканинна маска з комплексом пептидів для миттєвого сяйва та омолодження шкіри. Пептиди — це фрагменти білків, які сигналізують шкірі виробляти більше колагену.

Маска розгладжує дрібні зморшки, покращує текстуру шкіри та надає здорового сяйва. Ідеальна для підготовки до важливих подій.

Тримати на обличчі 15-20 хвилин. Залишки есенції вбити в шкіру.",25+,"Пептидний комплекс, ніацинамід, гіалуронова кислота, аденозин",Зріла,Peptide,Натуральна
PDRN Pink Caffeine Night Wrapping Mask,"PDRN, кофеїн, нічна маска, дренаж, набряки, корейська косметика","Нічна маска з PDRN та кофеїном для зменшення набряків та дренажу.","PDRN Pink Caffeine Night Wrapping Mask — це нічна маска з PDRN та кофеїном для боротьби з набряками та втомленим виглядом шкіри. Кофеїн стимулює мікроциркуляцію та лімфодренаж.

Маска зменшує набряклість, особливо в зоні навколо очей та щік. PDRN відновлює шкіру, а гіалуронова кислота зволожує.

Наносити як останній етап вечірнього догляду. Особливу увагу приділити зоні під очима.",25+,"Рослинний PDRN, кофеїн, гіалуронова кислота, пантенол, алантоїн",Всі типи,PDRN Pink,Натуральна
